symbol,average_volume
HNRG,576060.6
XMTR,575987.0
RYTM,574503.6
FWRD,570472.7
FIBK,568828.3
SFD,566389.8
LTRN,565540.9
VCEL,564544.8
VICR,563325.0
NFXL,563184.0
CNXC,560977.1
CAI,560657.8
WIX,558325.6
VFS,557483.2
VRDN,554052.3
UPBD,553631.2
MAPS,553331.0
GSAT,549995.4
EYPT,548676.6
SSYS,546780.1
GIII,538348.1
AMBA,537242.5
STEP,535342.0
BWEN,534809.9
ULTA,534450.1
AIRR,534437.6
PCRX,531313.8
MDAI,530592.4
ENSG,526461.7
KMTS,525589.8
EZPW,525118.1
DTCK,522472.3
CHRD,521571.7
NOTV,521042.1
NMIH,520100.0
HUBG,518135.7
METU,517897.9
ROAD,514553.2
PCH,514293.7
GILT,513922.6
BWIN,512553.7
ELDN,512473.7
TARS,512342.4
GHRS,511674.1
IDXX,511632.3
EQIX,511119.9
ISSC,507935.3
HTBK,505682.6
WTFC,505477.7
LASR,505464.0
HRZN,504305.9
IINN,501601.1
CCIR,501033.9
OMCL,500750.6
BJRI,499366.6
KNSA,499159.6
CINF,497712.5
DMAC,497285.9
LOGI,496627.0
KYMR,491926.4
ORIC,490720.6
OPRT,490289.5
VC,489225.5
OPRA,487844.2
NUVL,486714.3
VTGN,486193.3
MBAV,486096.0
EWTX,484793.8
VWAV,482288.8888888889
CRCT,480806.1
MEOH,480247.1
FEIM,479535.7
ANAB,478972.1
MASI,477601.2
SOXQ,477154.3
CATY,476136.6
EMBC,474997.5
PAX,474613.5
FBL,473657.7
FTDR,471698.2
CSWC,471595.9
HYMC,471379.5
ILPT,471333.6
AEBI,470257.7
GLPG,470221.5
PODD,469945.8
ATXG,469147.6
ZG,468375.6
COLM,467635.7
NEXN,467239.1
ITRI,466084.8
CYBR,466006.3
NICE,465258.7
RDTL,464795.4
CRVS,462925.3
WWD,462681.4
BASE,462129.6
ATRC,461079.5
SKYW,461004.5
PLAB,458085.6
BPOP,457918.9
PI,457265.4
BLFS,456087.7
BL,454886.7
ONC,453964.1
RTAC,453080.6
ALVO,452746.2
UMBF,452170.0
GSIT,449372.3
DRVN,449194.1
PPH,448409.2
JKHY,448054.3
MPWR,446500.4
CRSR,443605.3
GLUE,442252.5
CGBD,442236.6
HROW,442015.5
AVIR,441893.8
CYRX,441298.6
CWST,438442.9
LNW,436796.3
CUPR,433680.7
ENTX,432586.8
BZUN,432280.2
PRAX,431505.1
MESO,431080.6
ADEA,430591.6
SNAL,430516.8
ACLX,429920.1
BRKU,428901.9
PRTH,428839.1
GCMG,428656.6
