Date,NormalizedPrice,Market
2019-07-01,116.57524370663414,US Bonds
2019-08-01,121.8119552939061,US Bonds
2019-09-01,120.48375209902683,US Bonds
2019-10-01,120.1252670389205,US Bonds
2019-11-01,120.11412212831485,US Bonds
2019-12-01,119.35849052264714,US Bonds
2020-01-01,123.60029784465677,US Bonds
2020-02-01,126.18955839884995,US Bonds
2020-03-01,125.65168444897444,US Bonds
2020-04-01,128.32533721549984,US Bonds
2020-05-01,128.96849440052506,US Bonds
2020-06-01,129.3897109519751,US Bonds
2020-07-01,133.56657546680708,US Bonds
2020-08-01,131.7088710485176,US Bonds
2020-09-01,131.68982847281706,US Bonds
2020-10-01,129.8468848014369,US Bonds
2020-11-01,132.01820349220674,US Bonds
2020-12-01,132.2918011476353,US Bonds
2021-01-01,131.14390193669382,US Bonds
2021-02-01,127.77440354072246,US Bonds
2021-03-01,125.67177277295997,US Bonds
2021-04-01,127.30333785811291,US Bonds
2021-05-01,127.6884602750247,US Bonds
2021-06-01,129.97144940795656,US Bonds
2021-07-01,132.67842903667403,US Bonds
2021-08-01,132.6218525457854,US Bonds
2021-09-01,130.7891364881094,US Bonds
2021-10-01,131.6516566950942,US Bonds
2021-11-01,132.79527578668535,US Bonds
2021-12-01,132.47579036302793,US Bonds
2022-01-01,129.55641824408437,US Bonds
2022-02-01,128.58346735107068,US Bonds
2022-03-01,124.81463507964527,US Bonds
2022-04-01,118.42553235492767,US Bonds
2022-05-01,118.11597861049637,US Bonds
2022-06-01,113.96140332472552,US Bonds
2022-07-01,118.96120203893695,US Bonds
2022-08-01,114.30774266921301,US Bonds
2022-09-01,107.58533804378797,US Bonds
2022-10-01,107.58394833250196,US Bonds
2022-11-01,111.68596940839063,US Bonds
2022-12-01,109.31715528681912,US Bonds
2023-01-01,114.5444333987603,US Bonds
2023-02-01,111.1497313054863,US Bonds
2023-03-01,114.76186570543885,US Bonds
2023-04-01,115.15644809950648,US Bonds
2023-05-01,113.13339356756384,US Bonds
2023-06-01,113.35729356170603,US Bonds
2023-07-01,113.01709530832024,US Bonds
2023-08-01,112.04086666140914,US Bonds
2023-09-01,108.31325757152791,US Bonds
2023-10-01,106.204372282653,US Bonds
2023-11-01,111.50017517477184,US Bonds
2023-12-01,115.93788247931677,US Bonds
2024-01-01,116.41999790255753,US Bonds
2024-02-01,114.740898251026,US Bonds
2024-03-01,115.76889868526942,US Bonds
2024-04-01,112.50891811092528,US Bonds
2024-05-01,114.48867262440164,US Bonds
2024-06-01,115.58706804133804,US Bonds
2024-07-01,118.58777971822238,US Bonds
2024-08-01,120.35052317120628,US Bonds
2024-09-01,122.33080532350291,US Bonds
2024-10-01,119.06936607240715,US Bonds
2024-11-01,120.56338378155382,US Bonds
2024-12-01,117.2681277933963,US Bonds
2025-01-01,119.33878002846336,US Bonds
2025-02-01,121.94289047203023,US Bonds
2025-03-01,121.54425181753754,US Bonds
2025-04-01,121.3785441543754,US Bonds
2025-05-01,120.84961081509107,US Bonds
2025-06-01,123.00020654252161,US Bonds
2025-07-01,123.38341264585142,US Bonds
2015-08-01,100.0,India
2015-09-01,100.90263906588869,India
2015-10-01,100.20804084620731,India
2015-11-01,98.00791653869865,India
2015-12-01,98.8294851993608,India
2016-01-01,92.86352073358218,India
2016-02-01,86.16504083056141,India
